,timestamp,realized,realized_percent,prev_side,desired_side,hold_bars,order_price
71,1528254000000000000,20.836634308175373,0.0,1.0,-1,31.0,7595.0
72,1528477200000000000,-7.41541882140692,-0.0,-1.0,1,62.0,7635.99
73,1528509600000000000,2.303059501842266,0.0,1.0,-1,9.0,7648.86
74,1528592400000000000,66.86125169845437,-0.0,-1.0,1,23.0,7272.07
75,1529352000000000000,-113.34081776979731,0.0,1.0,-1,211.0,6695.8
76,1529665200000000000,71.63270071520365,-0.0,-1.0,1,87.0,6328.99
77,1530212400000000000,-57.159988913411254,0.0,1.0,-1,152.0,6067.37
78,1530219600000000000,33.98899014237375,-0.0,-1.0,1,2.0,5912.0
79,1530338400000000000,106.12840303134796,0.0,1.0,-1,33.0,6385.2
80,1531220400000000000,11.028813355890884,-0.0,-1.0,1,245.0,6336.83
81,1531684800000000000,5.1543306670697095,0.0,1.0,-1,129.0,6359.5
82,1532962800000000000,-401.6708494652488,-0.0,-1.0,1,355.0,8103.83
83,1534338000000000000,-231.11475337505198,0.0,1.0,-1,382.0,6331.75
84,1534824000000000000,6.681822660824103,-0.0,-1.0,1,135.0,6280.5
85,1534881600000000000,17.353169456242977,0.0,1.0,-1,16.0,6411.88
86,1534996800000000000,3.5632273866915045,-0.0,-1.0,1,32.0,6384.99
87,1535072400000000000,12.801245789822236,0.0,1.0,-1,21.0,6481.04
88,1536170400000000000,-55.10229111142502,-0.0,-1.0,1,305.0,6896.0
89,1536814800000000000,-61.7041212306274,0.0,1.0,-1,179.0,6368.99
90,1537207200000000000,10.50037161671629,-0.0,-1.0,1,109.0,6278.99
91,1537473600000000000,8.506609727145754,0.0,1.0,-1,74.0,6350.11
92,1537477200000000000,-1.1882847365291642,-0.0,-1.0,1,1.0,6360.0
93,1537484400000000000,15.077649274779603,0.0,1.0,-1,2.0,6487.01
94,1537851600000000000,4.388654288251531,-0.0,-1.0,1,102.0,6449.79
95,1538103600000000000,27.935082006664942,0.0,1.0,-1,70.0,6683.9
96,1538211600000000000,17.581252060161912,-0.0,-1.0,1,30.0,6536.68
97,1538251200000000000,5.7516573535796605,0.0,1.0,-1,11.0,6582.92
98,1538503200000000000,5.943540750618035,-0.0,-1.0,1,70.0,6535.0
99,1538661600000000000,5.09162554643053,0.0,1.0,-1,44.0,6575.28
100,1539172800000000000,-1.6834235577207148,-0.0,-1.0,1,142.0,6588.71
101,1539590400000000000,29.329855619149622,0.0,1.0,-1,116.0,6823.46
102,1539946800000000000,29.845547523514462,-0.0,-1.0,1,99.0,6584.85
103,1540393200000000000,-0.5717188049394493,0.0,1.0,-1,124.0,6580.55
104,1540432800000000000,8.880254349279161,-0.0,-1.0,1,11.0,6514.0
105,1541152800000000000,-15.363442799661483,0.0,1.0,-1,200.0,6400.66
106,1541264400000000000,4.268850059398289,-0.0,-1.0,1,31.0,6369.03
107,1541325600000000000,2.905991505337002,0.0,1.0,-1,17.0,6390.36
108,1541768400000000000,-1.7362627352423063,-0.0,-1.0,1,123.0,6403.13
109,1542160800000000000,7.203815179268936,0.0,1.0,-1,109.0,6456.69
110,1542196800000000000,12.188928104298409,-0.0,-1.0,1,10.0,6366.28
111,1543431600000000000,-288.21241561403656,0.0,1.0,-1,343.0,4291.08
112,1543651200000000000,39.67100746674868,-0.0,-1.0,1,61.0,4000.9
113,1543669200000000000,27.899956950901455,0.0,1.0,-1,5.0,4177.35
114,1543827600000000000,21.80975455841481,-0.0,-1.0,1,44.0,4038.25
115,1544652000000000000,-103.6736401661315,0.0,1.0,-1,229.0,3425.43
116,1544695200000000000,4.348049147433296,-0.0,-1.0,1,12.0,3399.57
117,1545069600000000000,7.912889393238949,0.0,1.0,-1,104.0,3446.41
118,1545724800000000000,-47.092551766282284,-0.0,-1.0,1,182.0,3726.55
119,1546063200000000000,13.509736010214336,0.0,1.0,-1,94.0,3821.6
120,1546131600000000000,18.93914980743933,-0.0,-1.0,1,19.0,3689.06
121,1546192800000000000,12.892937244785378,0.0,1.0,-1,17.0,3772.88
122,1546297200000000000,13.502830944343458,-0.0,-1.0,1,29.0,3684.31
123,1546408800000000000,11.506673902938585,0.0,1.0,-1,31.0,3756.04
124,1546578000000000000,-1.5966353182025659,-0.0,-1.0,1,47.0,3766.03
125,1546588800000000000,0.7301889936785257,0.0,1.0,-1,3.0,3770.65
126,1546621200000000000,5.353497296057315,-0.0,-1.0,1,9.0,3736.82
127,1546657200000000000,10.817719216755126,0.0,1.0,-1,10.0,3803.97
128,1547121600000000000,11.954651066623637,-0.0,-1.0,1,129.0,3729.24
129,1547654400000000000,-26.627760291313948,0.0,1.0,-1,148.0,3569.13
130,1548010800000000000,8.888866576725487,-0.0,-1.0,1,99.0,3515.73
131,1548475200000000000,9.607729108429966,0.0,1.0,-1,129.0,3572.15
132,1548612000000000000,2.591743938862834,-0.0,-1.0,1,38.0,3556.91
133,1549065600000000000,-16.42839411473247,0.0,1.0,-1,126.0,3460.88
134,1549422000000000000,7.6166321152390735,-0.0,-1.0,1,99.0,3416.32
135,1549652400000000000,41.6355360271434,0.0,1.0,-1,64.0,3653.73
136,1550131200000000000,8.968899398407935,-0.0,-1.0,1,133.0,3602.32
137,1550329200000000000,4.991481905214231,0.0,1.0,-1,55.0,3630.13
138,1551045600000000000,-23.76214190766555,-0.0,-1.0,1,199.0,3762.98
139,1551556800000000000,7.348040238721606,0.0,1.0,-1,142.0,3807.6
140,1551560400000000000,-0.44466688329361564,-0.0,-1.0,1,1.0,3810.28
141,1551571200000000000,1.684857476905246,0.0,1.0,-1,3.0,3820.48
142,1551639600000000000,2.719744755972682,-0.0,-1.0,1,19.0,3803.96
143,1551826800000000000,6.375254188034319,0.0,1.0,-1,52.0,3842.39
144,1552327200000000000,-3.193377763928097,-0.0,-1.0,1,139.0,3861.72
145,1552647600000000000,5.729652920871596,0.0,1.0,-1,89.0,3896.74
146,1553212800000000000,-12.506220035955648,-0.0,-1.0,1,157.0,3973.51
147,1553324400000000000,4.643056372306935,0.0,1.0,-1,31.0,4003.21
148,1553378400000000000,1.4766488835621694,-0.0,-1.0,1,15.0,3993.76
149,1553688000000000000,3.1740343941453424,0.0,1.0,-1,86.0,4014.0
150,1554994800000000000,-153.30608261453776,-0.0,-1.0,1,363.0,4994.28
151,1555304400000000000,13.97040297672863,0.0,1.0,-1,86.0,5140.53
